Kuratorer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kyl- och värmepumpstekniker m.fl.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lager- och terminalpersonal,2,1,0,0,4,1,0,0,0,0,5,2,1,2,1,0,0,1,1,0,0
Lastbilsförare m.fl.,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Lednings- och organisationsutvecklare,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ljus-, ljud- och scentekniker",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lärare i yrkesämnen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marknadsanalytiker och marknadsförare m.fl.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Maskinoperatörer, cement-, sten- och betongvaror",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Maskinoperatörer, påfyllning, packning och märkning",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maskinställare och maskinoperatörer, metallarbete",0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Medicinska sekreterare, vårdadministratörer m.fl.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mjukvaru- och systemutvecklare m.fl.,4,1,0,1,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0
"Montörer, elektrisk och elektronisk utrustning",1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0
"Montörer, metall-, gummi- och plastprodukter",0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Motorfordonsmekaniker och fordonsreparatörer,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Optiker,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ordersamordnare m.fl.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Personal- och HR-chefer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Personal- och HR-specialister,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0
Personliga assistenter,5,1,0,1,0,1,0,0,0,4,0,2,0,0,0,1,1,2,0,1,3
Pizzabagare m.fl.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Planerare och utredare m.fl.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Produktionschefer inom tillverkning,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Professorer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Psykologer,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"Ramppersonal, flyttkarlar och varupåfyllare m.fl.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Redovisningsekonomer,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
